external_gene_name,12039-JR-1,12039-JR-10,12039-JR-11,12039-JR-12,12039-JR-13,12039-JR-14,12039-JR-15,12039-JR-16,12039-JR-17,12039-JR-18,12039-JR-19,12039-JR-2,12039-JR-3,12039-JR-4,12039-JR-5,12039-JR-6,12039-JR-7,12039-JR-8,12039-JR-9
Gnai3,2798,3421,2104,3601,2923,3163,3370,3154,3970,4012,3617,2327,4768,3221,4578,3111,4334,3902,2711
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,116,142,99,159,115,103,181,137,164,167,131,102,161,106,120,117,136,150,111
H19,2119,8000,11151,9103,7231,6224,14599,9121,9026,9732,11455,6125,5486,6994,9990,11928,7101,5984,8806
Scml2,40,57,43,47,72,72,71,47,76,85,76,52,67,51,77,61,75,59,63
Apoh,0,3,1,0,1,1,2,0,0,6,0,0,1,2,0,1,3,5,0
Narf,797,1400,1314,1644,1335,1274,1514,1093,1316,1436,1146,921,1639,1131,1447,1295,1510,1422,1129
Cav2,1134,1391,778,1365,1220,1471,1441,1501,2044,2422,2107,1060,2125,1387,2164,1151,2097,1957,1312
Klf6,6175,8153,6606,8619,7191,9204,8555,7942,9155,8431,8184,5943,10003,6925,9878,7190,10460,9002,7719
Scmh1,656,951,698,939,826,826,976,771,994,875,960,697,1176,775,892,881,1054,856,806
Cox5a,1215,1771,1327,1677,1423,1536,1748,1342,1754,1861,1794,1311,2191,1521,1820,1746,1997,1558,1333
Tbx2,139,149,87,114,115,97,87,147,182,181,156,94,176,128,136,178,141,84,172
Tbx4,1,1,2,3,3,7,14,0,1,2,13,2,3,5,3,7,2,6,2
Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngfr,240,447,167,178,173,375,133,280,198,542,298,172,424,280,487,252,260,324,235
Wnt3,0,3,6,1,2,0,2,0,1,2,2,10,6,2,0,19,1,1,1
Wnt9a,213,412,505,383,469,319,531,322,452,376,344,195,435,308,353,404,319,418,352
Fer,875,1346,1473,1541,1222,1247,1341,1283,1649,1408,1362,905,1672,1294,1636,1406,1525,1391,1170
Xpo6,3128,4105,3117,3834,3242,3818,3661,3616,4221,3837,3677,2796,4668,3297,4055,3568,4623,3353,3497
Tfe3,2339,3142,2688,3088,2579,2837,2583,2632,3119,2620,2778,2200,3358,2427,2883,2703,3452,2563,2565
Axin2,211,202,268,227,187,212,269,147,214,291,233,139,288,143,215,283,228,198,184
Brat1,706,830,778,800,646,843,698,676,773,715,673,601,965,619,736,723,849,590,701
Gna12,5206,9084,5996,8235,6352,7431,6836,7601,8014,8032,8553,6196,10266,6482,7868,7698,9719,6705,7172
Slc22a18,74,140,103,103,79,139,112,123,104,124,128,99,150,124,143,96,178,89,83
Itgb2l,3,0,4,0,0,0,1,1,0,5,0,0,6,0,1,1,0,0,1
Igsf5,3,0,3,1,0,0,3,0,1,5,0,0,6,2,2,1,0,0,0
Pih1d2,10,18,19,40,22,25,33,21,32,20,25,13,16,24,30,26,39,28,14
Dlat,797,1351,1114,1415,1170,1522,1569,1223,1421,1966,1646,1107,1947,1108,1679,1221,1692,1279,1079
Sdhd,1148,1692,1186,1697,1416,1596,1722,1539,1643,1953,1778,1272,2155,1418,1876,1672,2035,1660,1354
Fgf23,7,4,36,3,3,0,12,1,2,5,6,1,5,2,2,4,1,0,1
Fgf6,0,0,0,1,0,0,2,0,0,1,5,0,0,0,0,2,0,0,1
Ccnd2,3804,4022,5942,4590,4770,5022,4896,4353,4992,6076,5058,3533,6589,4211,5889,4854,4808,4220,4390
Gpr107,2320,3283,2664,3153,2698,2966,2884,2779,3274,2874,2870,2264,3740,2474,3218,2818,3435,2761,2636
Nalcn,10,35,7,23,14,18,27,21,40,37,23,14,25,24,27,28,25,21,21
Btbd17,69,156,138,216,139,145,94,148,162,133,156,144,196,134,126,152,202,151,154
Slfn4,3115,1278,422,678,574,1068,697,964,838,494,769,856,964,777,1246,1074,1074,630,651
Th,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
Ins2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Scnn1g,1,0,2,0,0,0,0,1,0,17,0,2,1,2,3,6,0,1,0
Drp2,261,294,186,306,311,427,296,259,648,411,446,207,666,282,294,491,568,363,318
Tspan32,567,729,493,736,598,770,575,635,755,631,579,555,877,503,749,651,750,672,639
Lhx2,2,1,2,2,0,7,2,4,8,3,3,21,9,2,5,26,5,4,8
Clec2g,75,84,28,66,44,59,59,106,87,104,69,31,73,60,87,69,100,62,59
Gmpr,105,224,151,246,186,225,335,212,250,266,306,190,344,181,235,281,269,190,217
Glra1,0,0,0,2,1,1,3,1,3,2,1,1,1,4,0,1,1,2,1
Mid2,242,412,301,386,398,328,515,393,556,658,482,289,514,337,534,431,404,423,440
Trim25,3401,4124,3095,3473,2723,3454,3174,3173,3606,3279,3599,2708,4575,3123,4136,3175,3951,2757,2928
Dgke,352,439,251,430,319,349,335,425,503,431,512,318,536,316,424,370,540,365,374
Scpep1,5359,8116,4971,7744,6450,6800,7426,6579,7485,7599,7914,5582,9178,6403,8217,7104,8795,7546,6151
Mnt,1282,1465,1474,1584,1260,1543,1441,1374,1617,1310,1523,1304,1950,1365,1533,1487,1795,1274,1285
Itgb2,21322,28010,18331,28623,22324,24635,23533,22881,25550,20566,24498,19599,27215,20743,23941,21639,29860,21717,22687
Hddc2,125,167,105,153,122,178,167,148,193,191,196,128,177,134,181,175,222,169,177
Tpd52l1,2,0,3,1,1,2,22,3,9,15,18,1,7,0,5,8,4,0,0
Pemt,50,65,30,40,31,54,52,47,57,70,83,40,77,35,54,44,49,38,27
Cdh1,330,105,45,92,86,70,59,83,99,592,58,129,483,63,161,218,79,77,76
Cdh4,12,12,2,7,9,11,11,8,7,10,16,3,9,6,8,14,12,4,5
Ckmt1,3,31,9,12,24,13,28,12,21,64,23,37,43,16,37,49,15,9,24
Bcl6b,230,159,86,154,136,96,198,179,271,189,187,125,238,150,164,171,161,126,165
Clec10a,1348,2600,1467,2341,1530,3056,1408,1962,1847,2320,1582,1966,4104,2043,2421,2644,2689,2664,1661
Alox12,28,19,15,12,7,16,18,18,22,20,29,26,33,14,18,28,18,14,23
