Gene_Symbol,NOD 1,NOD 2,NOD 3,NOD 4,NOD 5,NOD 6
Npy,1.3677049,1.0065601,1.1269608,0.9934398,0.7930665,1.21705
1110007C05Rik,1.0036864,1.3564552,1.460791,0.78654283,1.2579073,0.9963136
Cap1,1.1935854,0.95596224,0.91063845,1.1388074,1.0440378,1.6714433
Glrx,1.0196719,1.1119013,0.9803279,0.8687112,1.2605511,1.0871239
Mest,1.3783805,1.0608752,0.9353703,1.0176929,0.98230714,1.5782247
St6galnac2,0.8633446,1.1273535,1.1473355,0.90966105,1.3834804,1.0903388
Serpinb6a,1.0271925,0.98424095,1.1398511,1.015759,0.6434572,1.1135103
Adk,0.97463703,1.0441055,1.0253631,0.7444958,1.3584496,1.0663525
Klra16,1.0315597,0.96844023,0.8358456,1.1214793,1.782307,1.6742966
H2-K1,1.1450248,0.83449066,1.0246283,1.3215094,1.0097314,0.9902685
Mest,1.0783211,1.0331266,0.8692942,1.0176756,0.9823244,1.2937441
2310067E08Rik,0.90013266,1.1027484,1.0998672,0.8575352,1.8158735,1.305764
CRG-L1,0.9808224,1.1863625,1.1040639,1.0086247,0.9913753,1.1781366
Bcl11b,0.96278423,1.0372158,0.89254224,1.3665345,1.2603108,1.6185938
Aqp1,1.0375714,1.0174665,1.0092027,0.6505983,1.021081,0.9907972
Hist1h3e,0.94676846,1.281457,1.320496,0.836706,1.3556005,1.0532316
Hist1h1c,1.0499215,1.1247573,1.169111,0.8279186,1.2754177,0.9500785
Ank,0.95501846,1.1241465,1.1618834,0.80666196,1.247787,1.0449815
Sgk,0.9839485,1.0160513,0.7950509,1.1656529,1.3911883,1.4704432
Slc39a4,1.0960028,1.3150468,1.2632518,0.87266326,0.9039971,1.120989
Nipa1,1.0057682,1.207447,0.99423194,0.67621577,1.6800282,1.0086633
Pdlim4,0.9756966,0.98541266,1.0145873,1.0851005,1.3843119,1.5101244
Supt3h,0.88023484,1.1197653,1.2267191,0.8717332,1.3405141,1.126487
LOC233899,0.97843987,1.2107304,1.1065539,0.7195756,1.3438574,1.0215601
