"","6872-JK-1","6872-JK-2","6872-JK-3","6872-JK-4","6872-JK-51","6872-JK-52-REPREP","6872-JK-53","6872-JK-54","6872-JK-77","11067-JK-10","11067-JK-11","11067-JK-18","11067-JK-19","11067-JK-20","11067-JK-21","11067-JK-22","11067-JK-5","11067-JK-6","11067-JK-7","11067-JK-8","11067-JK-9","12039-JR-1","12039-JR-10","12039-JR-11","12039-JR-12","12039-JR-13","12039-JR-14","12039-JR-15","12039-JR-16","12039-JR-17","12039-JR-18","12039-JR-19","12039-JR-2","12039-JR-3","12039-JR-4","12039-JR-5","12039-JR-6","12039-JR-7","12039-JR-8","12039-JR-9","11391-JR-1","11391-JR-10","11391-JR-11","11391-JR-12","11391-JR-13","11391-JR-14","11391-JR-15","11391-JR-16","11391-JR-2","11391-JR-3","11391-JR-4","11391-JR-5","11391-JR-6","11391-JR-7","11391-JR-8","11391-JR-9"
"A2ml1",6.23989233025768,6.30541993093172,5.99568373687915,5.88965570486044,6.05404515855214,5.79945221259711,6.11198994537156,5.72612276965957,6.45950744984926,6.20186605094381,6.25817645052173,5.9886998490011,6.26289547955388,6.20586289599761,5.76471956605182,6.32679063988248,5.91821189339413,6.00277049298169,6.15367889535865,5.9737257250926,5.71829437983201,5.84417373260157,6.00506047486797,6.00901731635837,5.93144117822483,5.88840933363171,5.89685479907828,5.89218343829552,6.47316976527358,6.08072850364777,5.91410495272109,6.00258072483145,6.3844832840811,5.97338844808816,6.21798630060413,6.27455076988161,6.09737900986072,6.09858721060587,6.04015685975532,6.20392340205916,5.91402183485066,6.08854572086776,6.20395912792087,5.77201835298032,6.29166969404947,5.99207987864556,6.03665501290369,6.29048009406232,6.17507762115877,6.17681856272908,5.87136638341237,6.14814829879829,6.02507472591794,5.87041249561165,6.05258805516009,6.12534056574649
"Aacs",10.4458434440058,9.86105339584845,10.1688559586541,10.3577888148976,10.1304254470485,9.82177531724306,10.1659948393097,10.277238988424,10.5714781735201,10.1347903382308,10.2600839370174,10.2631291382074,10.488151546763,10.0775382420188,10.4182774719219,10.0557702315129,10.0426448109628,10.1180616036971,10.2043285313498,10.0294302219343,10.3083997649856,9.62286746398796,9.81210801611581,10.3523033002813,9.84192119694795,9.85409443905347,10.625514399399,10.0347205919055,9.8840803223842,9.85672172483549,11.3018398001253,10.6735663101693,10.5169870016287,10.8072536039493,10.1080101941932,10.3501935450646,9.9259285732127,10.4539917667445,9.87407955146073,9.90477744299379,9.9314931278289,9.90707442731914,10.2827756762629,10.0985248943445,10.3762267077912,10.2148912019647,10.1762279714113,10.0093531681889,10.2597736222814,10.3598984008648,10.5450476005182,10.0213372271625,10.5750825656863,10.1419298698004,10.3525219470974,9.94864937627984
"Abca13",5.9871013062807,5.45733185004413,5.72263901485722,5.848145321846,5.98087286543188,6.45758418046825,6.13333108107428,5.95276984574578,5.70393751773589,6.05714036075934,5.82545100731592,5.99797838384483,5.56900562475545,5.87647234777498,5.72939051348726,5.98200346777596,6.01943725980696,5.87584477470662,5.96969757907368,6.16969075745881,5.91950523455237,6.89861204848576,5.7802118021482,5.75249866296974,5.84800673002429,5.89500134649074,5.96403294830809,5.95936158752534,5.80590354171238,5.92479861649673,5.9369016829857,5.84068799059763,5.65015337357112,5.89238719277273,6.04793242835716,5.82516511121523,5.854929799397,5.68853729640033,5.8008848537112,6.03738706307492,5.8226554385971,5.80272118954653,5.87425263970272,6.08243035726783,5.9273543346735,5.76663093122214,5.79776652462792,6.06787115896017,5.77320146037993,5.93676346337352,5.90341325560387,6.1289135471488,5.86100975114756,5.9987920299611,6.02899443295135,5.88271923325219
"Abcc12",5.24150754311952,5.49416252178134,5.60874008829504,5.24150754311952,5.24150754311952,5.48550509069056,5.48515644115486,5.24150754311952,5.24150754311952,5.4474809079868,5.59445166444997,5.24510385441637,5.24510385441637,5.24510385441637,5.24510385441637,5.24510385441637,5.24510385441637,5.68417619742414,5.24510385441637,5.47678510867705,5.45618161724008,5.26721144415575,5.26721144415575,5.26721144415575,5.26721144415575,5.63578587301443,5.26721144415575,5.26721144415575,5.26721144415575,5.26721144415575,5.26721144415575,5.59710269291445,5.74209450226604,5.26721144415575,5.26721144415575,5.26721144415575,5.50792566645214,5.26721144415575,5.26721144415575,5.70290163526907,5.57789285329417,5.28199250282108,5.47863349608897,5.28199250282108,5.28199250282108,5.28199250282108,5.28199250282108,5.49579703458937,5.28199250282108,5.28199250282108,5.57205830468422,5.28199250282108,5.28199250282108,5.28199250282108,5.28199250282108,5.60677074923493
"Abhd14a",7.79251440458729,7.66338891238078,7.7461499279332,7.91379862122093,7.53008695671856,7.44992104834583,7.39624396853609,7.35901844191724,7.65383273456952,7.41880564613024,7.68549659150866,7.92990717539908,7.53946438918462,7.50671799806159,7.69747529868684,7.53905785650118,7.40169739392372,7.50780184254732,7.60841591006982,7.47363547122223,8.03146444837731,7.39961464510555,7.60127015367901,8.08467549176125,7.48846666867726,7.66574146973078,7.62386083019672,7.75754780529194,7.59289006428995,7.58469289821496,7.82200805351642,7.4074830194993,7.45065465232093,7.81577411351217,7.58430887902095,7.50548722797543,7.64633613760844,7.5021871769993,7.50840162739165,7.58017078609463,7.49003755345423,7.7370089812086,7.8470090220632,7.69518538058329,7.78026347468425,7.89436884570978,7.6804710552203,7.78618431703464,7.67881514076708,7.31693691115363,7.27282657390292,7.75276466652959,7.63550816527782,7.36050935670017,7.51768017502976,7.34101707616422
"Abhd15",7.98806272323827,6.88236376553078,7.98693830990533,7.14365497024433,7.26008345661083,6.65029170713555,7.65030929160026,7.34763086552362,7.60099402360789,7.34098140575179,7.58650570954833,7.48130905943652,6.98338357259458,7.35786964315224,7.54373958676331,7.41196824660132,7.79879645238288,7.2433625787881,7.28803321950074,7.35676770395712,7.28772163938561,7.44004698258415,6.90630233645802,7.23814879717869,6.86476522226528,6.68462131526867,8.16588130027852,7.22273089434224,7.24346114642495,7.10360571817604,8.60165781942977,8.08710310786608,7.58170714701603,7.86590094609005,7.17423444252201,7.45509320125707,7.03123152402673,7.73597416082557,7.07102152406207,6.93720720887707,7.53672384414838,6.89084822106558,6.99308564628974,6.78784479990903,7.24265392119683,6.75432825394712,6.76846404762319,6.85900225303848,7.86502803330619,7.98227162647472,8.08790931700781,7.27924042776748,8.1031991281459,7.55020762991007,8.0434234400555,7.49635450059734
"AC115752.1",6.53950238992939,6.59324653327492,6.53027498694141,6.95027064052588,7.1471901515402,6.87211003726855,6.85371799525712,6.66979646260189,6.32712459937687,6.79073700318345,6.78834429277587,6.71143225861074,6.64932971836575,6.76664081196298,6.8182881336615,6.79576064807113,6.76559515534255,6.54788919752259,6.65778788412917,6.72820384985656,6.6243027754727,7.03638404858145,6.68795831973255,6.85215028560651,6.48268742485833,6.88890423433347,6.48381907703054,6.53622518578027,6.66264079639991,6.65370840563188,6.66629757273684,6.74706839393753,6.83605701899178,6.6898461791366,6.81029191118244,6.62265390345795,6.80486790681488,6.61670728164528,6.62827078309855,6.98028817522198,6.53872968787228,6.76073668188372,6.66544869824227,6.93607911854899,6.97347487883834,7.01714478629614,6.8122327266585,6.69414450237655,6.77272599899162,6.74143163198128,6.3419855997419,6.69015676678931,6.67593023580348,6.70093172380783,6.48300383532936,6.72159209877843
"AC132444.6",5.60148732119199,5.72993564591242,5.37308119800438,5.94955647521747,5.78197309561723,5.37308119800438,5.61673009603972,5.37308119800438,5.37308119800438,5.46623541579541,5.46573746753296,5.70688016158058,5.62030007424499,5.59482585287531,5.69700978654845,5.62020913547975,5.54966913490277,5.56087697533617,5.55506398358402,5.58069319414337,5.47850871930473,5.59750371724503,5.5483583770798,5.81139698490654,5.55237218085571,5.73711662900788,5.80614823082522,5.69534855465452,5.56940831809039,5.21727185431874,5.4478094354395,5.62086791548416,5.6055918063716,5.77545359505159,5.72779546295084,5.76731703548165,5.21727185431874,5.43908286746653,5.56529566990296,5.21727185431874,5.56109791743673,5.56884328614814,5.26519756696364,5.69479291386896,5.57858052897143,5.57014961824881,5.65895968707225,5.69164384716664,5.67274360564983,5.4899304986618,5.55526336882678,5.58912256944614,5.56345466302136,5.58240550453654,5.4899429057898,5.66255138662917
"AC133946.1",5.35714283556404,5.35714283556404,5.35714283556404,5.35714283556404,5.35714283556404,5.35714283556404,5.35714283556404,5.59609666586304,5.35714283556404,5.37471895679654,5.70426617281557,5.1723419032261,5.3929982820082,5.1723419032261,5.1723419032261,5.55371155193167,5.47423286851595,5.55295415333631,5.47864986947538,5.1723419032261,5.38341966604982,5.55862181390408,5.28936938472715,5.28936938472715,5.28936938472715,5.28936938472715,5.28936938472715,5.28936938472715,5.6415058484988,5.51488966616144,5.51990696584791,5.28936938472715,5.28936938472715,5.28936938472715,5.28936938472715,5.28936938472715,5.53008360702355,5.51118039787495,5.28936938472715,5.541551045867,5.57904812163527,5.43186893539678,5.55702927874985,5.21696122099542,5.21696122099542,5.43279521181132,5.21696122099542,5.51905107616511,5.45277857088286,5.60542912318817,5.21696122099542,5.21696122099542,5.42804827298687,5.21696122099542,5.21696122099542,5.61431504066095
"AC154013.1",5.96311914219731,6.07215455121085,6.27831997429582,6.08061815834914,6.4302042782787,6.3095273817525,6.41334762813931,6.61039712531857,6.46803682359317,6.34295036700339,6.24868937345487,6.29234178187849,6.26913299384156,6.3703641799798,6.08737010152459,6.11985971402985,6.59922305680772,6.14502858582108,6.35767613219581,6.5091689954674,6.15916146884263,6.34188938278059,6.26365736506084,6.33416360521677,6.42098731781868,6.06162766864212,6.29349631931136,6.10770950837897,6.35076470037825,6.38875408230977,6.39047775469413,6.20644168740986,6.42566659220419,6.30568883815987,6.23018012578257,6.25354711570386,6.48139936705587,6.13464547838452,6.16290196747915,6.38919847873666,6.27018306037132,6.59510166763028,6.61157719633814,6.3821010338918,6.05122765790504,6.02763495098806,6.26293031482968,6.34536291276436,6.40375349725892,6.26929995934203,6.36409266633103,6.08065652573213,6.54408412057184,6.00824217713463,6.13723309964506,6.31447482706193
